username,price,avg_likes,avg_comments,followers
qajartime,275000,12641.9,575.3,332963
Jopitar,385000,12377.8,115.2,379100
matntorii,77000,3.8,0.0,15601
Lezzat_ashpazi,143000,1922.1,33.2,328816
hassan_reyvandi22,99000,8435.9,55.4,329772
pregnancy_science,165000,938.4,105.7,331215
khabar_beroz,110000,746.2,67.4,358193
1alisadeghian,1100000,6789.4,672.7,370174
text_lahzeha,330000,9285.7,85.5,324428
Bavar_zehn,242000,5588.0,518.7,318316
Idea_maa,198000,1158.1,26.5,316372
cliphaaaa1,110000,1660.8,81.6,321198
selfmade_ir,330000,6757.8,95.1,316424
Fot_fann,165000,1462.0,30.1,327723
mod__plus,132000,715.5,9.9,319710
Chideman.nov.arus,66000,803.7,17.1,320094
Bebinmanu,143000,4658.2,48.5,295396
ashpazie_samira,198000,761.7,53.7,314808
Fitness.pars,165000,5166.4,50.7,315711
houseplant_1984,2750000,3540.6,48.0,316211
digiato,2475000,10171.9,215.2,385699
iran_carlux,275000,3373.5,77.6,313878
makeup_aros_fashion,60500,538.3,10.6,417090
Persian.drag,170500,2557.4,48.7,314547
Donyaye.mod.zibayi,132000,641.0,11.8,377162
Aroose_ideall,77000,1504.3,17.9,306711
Textkha3,137500,26622.2,1053.0,792813
behtarinha_ba_hasti,165000,2539.5,93.0,310382
homegym_123,220000,1899.4,13.8,307667
makeupmodd,110000,854.4,11.7,315031
textfa_,1045000,9150.8,46.1,314331
gray_fashion,363000,710.1,8.2,263775
business.books,924000,3774.5,78.4,311093
Jol_gram,436700,4269.2,724.0,308096
Honaarmaandan,44000,1774.0,66.9,337482
Pias_free,220000,1990.6,23.4,304115
rouydad24.ir,660000,765.0,23.6,307948
Timarestan_irr,143000,898.1,77.1,295273
thezoomit,3360000,11200.0,238.0,322142
Full_tak,121000,2922.8,75.4,299649
Shikism,102300,158.6,8.0,731
antiki3,88000,2948.7,76.2,307159
Time.losting,132000,3920.2,41.5,268021
nikkarimi1350,33000,900.6,45.9,305638
arayesh_va_poost,165000,2389.7,25.1,301344
food_somaye,495000,16531.3,549.5,318813
Fateme__mokhtari,275000,233.6,144.4,299576
Hamsar.naz,165000,1866.5,83.5,390367
LEO.ORG1,7700000,75282.3,4153.4,1009985
Idea_shiik,143000,2470.8,71.0,345294
funn.clipp,96800,2989.6,36.7,511809
eghtesaad24.ir,550000,861.3,44.0,301904
lindakiani4__,33000,1006.4,16.3,299090
Pic.khaas,220000,4345.5,91.2,293644
aliiiiiiiikarimi8_havadaran,44000,3011.3,56.5,300460
Magic.facts,93500,3417.6,129.9,299298
Sahar.clipo,770000,5458.5,44.0,331777
perspoliss_fc,165000,7628.7,380.8,485605
majaleye_danestaniha,66000,1356.8,88.5,296352
Ashpaziiiasan,220000,1302.7,31.0,551427
Caffe_cinama,55000,2239.0,37.2,293306
Maragheh_az,330000,4556.1,81.0,294785
Sasankeshani,330000,28274.7,1394.9,698988
Tarikh_perspolis,71500,6821.5,250.7,358915
Top_honarmandan_ir,72600,4512.5,137.2,395763
entiremag,352000,191.5,2.7,831146
Pias_gym,275000,5268.9,69.1,333560
Steve_harvey_irani,770000,9734.3,110.0,649988
shiva_tarfand,60500,965.9,11.1,292603
Manazeleshik,66000,1737.6,17.1,284396
azerbaijanlite,110000,1556.6,25.4,290423
khodrobank,165000,322.0,18.9,291400
Iranian_artist,66000,2105.5,24.6,277704
naab__kade,121000,2037.8,67.6,288580
Sinaofficial_,165000,352.2,9.5,281012
Nini_video,143000,7291.7,57.6,289333
didani_org,77000,6259.7,346.9,581630
samoowr,49500,7802.5,152.8,319265
